sweep,case,source,vin_v,vout_v,iout_a,rload_ohm,duty,l_uh,c_uf,fsw_khz,delta_il_a,delta_il_percent_iout,delta_vout_mv,inductor_current_min_a,lc_natural_frequency_hz,lc_period_us,existing_plecs_il_ripple_pp_a,existing_plecs_vout_ripple_pp_mv,existing_plecs_startup_vout_peak_v,existing_plecs_startup_il_peak_a,note
base_compare,22uH_100uF_200kHz,formula_estimate_and_existing_plecs,24.0,12.0,5.0,2.4,0.5,22.0,100.0,200.0,1.3636363636363638,27.272727272727277,8.522727272727273,4.318181818181818,3393.19478787285,294.70751386686146,1.3094138706464413,8.499972948589729,20.81563891719695,27.33508114525714,公式估算与第二章已有 PLECS 基准结果对照
l_sweep,10uH,formula_estimate,24.0,12.0,5.0,2.4,0.5,10.0,100.0,200.0,3.0,60.0,18.75,3.5,5032.921210448703,198.69176531592205,,,,,公式估算，未重新运行 PLECS 参数扫描
l_sweep,22uH,formula_estimate,24.0,12.0,5.0,2.4,0.5,22.0,100.0,200.0,1.3636363636363638,27.272727272727277,8.522727272727273,4.318181818181818,3393.19478787285,294.70751386686146,,,,,公式估算，未重新运行 PLECS 参数扫描
l_sweep,47uH,formula_estimate,24.0,12.0,5.0,2.4,0.5,47.0,100.0,200.0,0.6382978723404257,12.765957446808512,3.98936170212766,4.680851063829787,2321.5134420947206,430.75348256337975,,,,,公式估算，未重新运行 PLECS 参数扫描
c_sweep,47uF,formula_estimate,24.0,12.0,5.0,2.4,0.5,22.0,47.0,200.0,1.3636363636363638,27.272727272727277,18.133462282398458,4.318181818181818,4949.483288837733,202.04129232141034,,,,,公式估算，未重新运行 PLECS 参数扫描
c_sweep,100uF,formula_estimate,24.0,12.0,5.0,2.4,0.5,22.0,100.0,200.0,1.3636363636363638,27.272727272727277,8.522727272727273,4.318181818181818,3393.19478787285,294.70751386686146,,,,,公式估算，未重新运行 PLECS 参数扫描
c_sweep,220uF,formula_estimate,24.0,12.0,5.0,2.4,0.5,22.0,220.0,200.0,1.3636363636363638,27.272727272727277,3.873966942148761,4.318181818181818,2287.691459294865,437.12188369502843,,,,,公式估算，未重新运行 PLECS 参数扫描
fsw_sweep,100kHz,formula_estimate,24.0,12.0,5.0,2.4,0.5,22.0,100.0,100.0,2.7272727272727275,54.545454545454554,34.09090909090909,3.6363636363636362,3393.19478787285,294.70751386686146,,,,,公式估算，未重新运行 PLECS 参数扫描
fsw_sweep,200kHz,formula_estimate,24.0,12.0,5.0,2.4,0.5,22.0,100.0,200.0,1.3636363636363638,27.272727272727277,8.522727272727273,4.318181818181818,3393.19478787285,294.70751386686146,,,,,公式估算，未重新运行 PLECS 参数扫描
fsw_sweep,300kHz,formula_estimate,24.0,12.0,5.0,2.4,0.5,22.0,100.0,300.0,0.9090909090909092,18.181818181818183,3.7878787878787885,4.545454545454545,3393.19478787285,294.70751386686146,,,,,公式估算，未重新运行 PLECS 参数扫描
