metric,value
vref_target_v,12
vin_nom_v,24
fsw_hz,200000
control_period_us,5
kp,0.05
ki,200
duty_min,0
duty_max,0.55
ramp_2ms_time_ms,2
ramp_5ms_time_ms,5
step_12v_ramp_time_ms,0
step_12v_peak_vout_v,18.6354388983
step_12v_overshoot_v,6.63543889834
step_12v_peak_inductor_current_a,28.339851119
step_12v_peak_duty_cmd,0.55
step_12v_peak_duty_raw,1.10416666667
step_12v_integrator_peak,0.000761072437633
step_12v_saturation_total_ms,0.075
step_12v_max_abs_tracking_error_v,11.9985
step_12v_time_to_95pct_ms,0.0715
step_12v_settle_time_ms,3.2915
ramp_2ms_ramp_time_ms,2
ramp_2ms_peak_vout_v,12.1724273753
ramp_2ms_overshoot_v,0.172427375307
ramp_2ms_peak_inductor_current_a,5.50612824713
ramp_2ms_peak_duty_cmd,0.511904703026
ramp_2ms_peak_duty_raw,0.511904703026
ramp_2ms_integrator_peak,0.00364764576143
ramp_2ms_saturation_total_ms,0
ramp_2ms_max_abs_tracking_error_v,0.20164894044
ramp_2ms_time_to_95pct_ms,1.8985
ramp_2ms_settle_time_ms,2.2725
ramp_5ms_ramp_time_ms,5
ramp_5ms_peak_vout_v,12.0812008821
ramp_5ms_overshoot_v,0.0812008820676
ramp_5ms_peak_inductor_current_a,5.24205382105
ramp_5ms_peak_duty_cmd,0.507828823472
ramp_5ms_peak_duty_raw,0.507828823472
ramp_5ms_integrator_peak,0.00145905830457
ramp_5ms_saturation_total_ms,0
ramp_5ms_max_abs_tracking_error_v,0.0812008820676
ramp_5ms_time_to_95pct_ms,4.7495
ramp_5ms_settle_time_ms,5
ramp_5ms_peak_current_reduction_a,23.097797298
ramp_5ms_vout_overshoot_reduction_v,6.55423801627
