case,metric,value,limit,status,note
isr_sequence,initial_update_applies_preload,1.0,1.0,PASS,中断入口先应用上一周期预装载值
isr_sequence,one_cycle_compare_latency,1.0,1.0,PASS,本周期计算的 compare 在下一更新事件生效
ocp,active_pwm_disable_immediate,1.0,1.0,PASS,OCP 周期内立即清除 active enable
fault_clear,restart_waits_for_update,1.0,1.0,PASS,重新使能等待下一更新事件
normal,mapping_and_arithmetic_clean,1.0,1.0,PASS,正常输入无钳位和整数溢出
target_budget,allocated_isr_ns,3500.0,3500.0,PASS,目标 MCU 的中断执行预算，不是主机实测值
target_budget,reserve_ns,1500.0,1500.0,PASS,为中断延迟、抖动和高优先级抢占保留的余量
host_benchmark,host_batch_p50_ns_per_call,45.394999999999996,5000.0,INFO,主机批次均摊耗时，仅用于回归，不判定 MCU 5us 截止时间
host_benchmark,host_batch_p95_ns_per_call,50.05749999999999,5000.0,INFO,主机批次均摊耗时，仅用于回归，不判定 MCU 5us 截止时间
host_benchmark,host_batch_p99_ns_per_call,59.364399999999996,5000.0,INFO,主机批次均摊耗时，仅用于回归，不判定 MCU 5us 截止时间
host_benchmark,host_batch_max_ns_per_call,60.57,5000.0,INFO,主机批次均摊耗时，仅用于回归，不判定 MCU 5us 截止时间
isr_unit_tests,previous_compare_applies_at_isr_entry,1.0,1.0,PASS,C 中断编排单元测试
isr_unit_tests,new_compare_waits_for_next_update,1.0,1.0,PASS,C 中断编排单元测试
isr_unit_tests,queued_compare_has_one_cycle_latency,1.0,1.0,PASS,C 中断编排单元测试
isr_unit_tests,nominal_adc_and_arithmetic_are_clean,1.0,1.0,PASS,C 中断编排单元测试
isr_unit_tests,ocp_latches_fault_and_commands_disable,1.0,1.0,PASS,C 中断编排单元测试
isr_unit_tests,ocp_disable_is_immediate,1.0,1.0,PASS,C 中断编排单元测试
